HRM2-ID,HRM2-Bezeichnung,Rechnung 2017,Budget 2018,Rechnung 2018,Budget 2019,Source,Kanton,Year,Compte,Compte.1
30,Personalaufwand,5240375.77332,5315346.187,5358724.42478,5464826.832649999,ZH_HRM2,ZH,2018,,
31,Sach- und übriger Betriebsaufwand,3035765.80313,3119151.583,3085488.27122,3011912.733,ZH_HRM2,ZH,2018,,
330,Abschreibungen Sachanlagen VV,478151.62506,483925.399,456263.3144,474144.755,ZH_HRM2,ZH,2018,,
332,Abschreibungen Immaterielle Anlagen VV,27310.612399999998,27477.844,29098.02652,28511.743,ZH_HRM2,ZH,2018,,
339,Abtragung Bilanzfehlbetrag,0.0,0.0,0.0,0.0,ZH_HRM2,ZH,2018,,
350,Einlagen in Fonds und Spezialfinanzierungen im FK,35807.12438,16924.0,41876.43661,18328.6,ZH_HRM2,ZH,2018,,
351,Einlagen in Fonds und Spezialfinanzierungen im EK,0.0,0.0,0.0,0.0,ZH_HRM2,ZH,2018,,
36,Transferaufwand,5872130.3178,6029894.919,5928847.81931,6299135.63,ZH_HRM2,ZH,2018,,
37,Durchlaufende Beiträge,416080.67611,424954.0,411988.25876999996,213359.9,ZH_HRM2,ZH,2018,,
39,Interne Verrechungen,0.0,0.0,0.0,0.0,ZH_HRM2,ZH,2018,,
41,Regalien und Konzessionen,296263.38249,200561.0,333346.96662,201005.0,ZH_HRM2,ZH,2018,,
42,Entgelte,3033338.05931,3013974.072,3181192.0233,3071555.478,ZH_HRM2,ZH,2018,,
430,Verschiedene Erträge,269088.88652999996,272915.928,296632.39322,282054.639,ZH_HRM2,ZH,2018,,
431,Aktivierung Eigenleistung,11139.23403,12048.0,12198.93698,11145.4,ZH_HRM2,ZH,2018,,
432,Bestandesveränderungen,3314.34476,13.0,3983.60475,4.0,ZH_HRM2,ZH,2018,,
439,Übriger Ertrag,78817.64169,35230.621,39499.68709000001,31820.499,ZH_HRM2,ZH,2018,,
450,Entnahmen aus Fonds und Spezialfinanzierungen im Fremdkapital,37531.756729999994,80408.059,55917.56807,69602.945,ZH_HRM2,ZH,2018,,
451,Entnahmen aus Fonds und Spezialfinanzierungen im Eigenkapital,49108.328689999995,53794.0,1148.406,6252.0,ZH_HRM2,ZH,2018,,
46,Transferertrag,4174448.12462,4202507.4099200005,4330251.2868800005,4304858.04292,ZH_HRM2,ZH,2018,,
47,Durchlaufende Beiträge,416080.67611,424982.0,411988.25876999996,213332.9,ZH_HRM2,ZH,2018,,
49,Interne Verrechnungen,0.0,0.0,0.0,0.0,ZH_HRM2,ZH,2018,,
340,Zinsaufwand,100481.45495999999,86584.9,72863.66583,77197.535,ZH_HRM2,ZH,2018,,
341,Realisierte Kursverluste,6253.54526,656.1,1355.4732099999999,738.55,ZH_HRM2,ZH,2018,,
342,Kapitalbeschaffungs- und Verwaltungskosten,688.53225,590.0,601.2705100000001,649.0,ZH_HRM2,ZH,2018,,
343,Liegenschaftenaufwand FV,5566.93695,20433.0,6631.5208,13443.0,ZH_HRM2,ZH,2018,,
344,Wertberichtigungen Anlagen FV,3686.9107000000004,20.0,3738.99895,20.0,ZH_HRM2,ZH,2018,,
349,Verschiedener Finanzaufwand,1344.04929,247.9,1781.74092,339.4,ZH_HRM2,ZH,2018,,
440,Zinsertrag,28044.05275,21582.7,26588.06218,17201.0,ZH_HRM2,ZH,2018,,
441,Realisierte Gewinne FV,24664.174649999997,3365.0,6013.15821,2795.0,ZH_HRM2,ZH,2018,,
442,Beteiligungsertrag FV,484.73275,88.0,1410.22007,45.0,ZH_HRM2,ZH,2018,,
443,Liegenschaftenertrag FV,25109.038129999997,23525.8,24547.41361,24287.5,ZH_HRM2,ZH,2018,,
444,Wertberichtigungen Anlagen FV,36540.26886,2994.0,1858.18926,8481.0,ZH_HRM2,ZH,2018,,
445,Finanzertrag aus Darlehen und Beteiligungen VV,68916.4912,37452.5,69837.76624,69362.5,ZH_HRM2,ZH,2018,,
446,Finanzertrag von öffentlichen Unternehmungen,243226.34965000002,269369.5,250501.9083,274064.0,ZH_HRM2,ZH,2018,,
447,Liegenschaftenertrag VV,40180.909380000005,31480.148,38541.531200000005,82748.682,ZH_HRM2,ZH,2018,,
448,Erträge von gemieteten Liegenschaften,4339.52736,1494.18,4348.44247,1524.6,ZH_HRM2,ZH,2018,,
449,übriger Finanzertrag,6218.80562,365.0,7350.64705,439.0,ZH_HRM2,ZH,2018,,
380,a.o. Personalaufwand,0.0,0.0,0.0,0.0,ZH_HRM2,ZH,2018,,
