Referenz-ID,HRM 2,in 1000 CHF,Rechnung 2018,Budget 2019,Rechnung 2019,Budget 2020,Kanton,Compte,Compte.1
HRM2_ER0030,30,Personalaufwand,24420046.283479996,24930238.944839995,25078006.425839998,25365050.64956,HRM2_KT_alle,,
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,9405757.498659998,9515307.066951,9695994.15067,10070494.85185,HRM2_KT_alle,,
HRM2_ER0314,davon 314,baulicher und betrieblicher Unterhalt,1096543.3187199999,1072231.294,1093416.7982700001,1130573.045,HRM2_KT_alle,,
HRM2_ER0318,davon 3180,Wertberichtigungen auf Forderungen,113993.91864000002,47188.059000999994,124425.54986999999,48634.503,HRM2_KT_alle,,
HRM2_neu_ER0033,33,Abschreibungen VV,2928793.0264,2855453.26284,2834876.470629999,2894989.3608199996,HRM2_KT_alle,,
HRM2_ER0330,330,Abschreibungen Sachanlagen VV,2787610.82103,2708707.24718,2685831.41969,2709755.1243600002,HRM2_KT_alle,,
HRM2_ER0332,332,Abschreibungen Immaterielle Anlagen VV,141181.41243000003,147647.51417,149045.75081,151946.17487000002,HRM2_KT_alle,,
HRM2_ER0339,339,Abtragung Bilanzfehlbetrag,0.0,-900.0,0.0,33288.212,HRM2_KT_alle,,
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,770575.6015800001,333526.887,534437.02767,391909.009,HRM2_KT_alle,,
HRM2_ER0350,350,Einlagen in Fonds und Spezialfinanzierungen im FK,214374.53195999996,156430.39999999997,193092.20012,173110.3,HRM2_KT_alle,,
HRM2_ER0351,351,Einlagen in Fonds und Spezialfinanzierungen im EK,411200.43554000003,192153.187,325271.82727999997,218872.709,HRM2_KT_alle,,
HRM2_ER0036,36,Transferaufwand,47274806.62023001,48205787.50238,48079154.30831,50150090.90637999,HRM2_KT_alle,,
HRM2_ER3634,davon 3634,Beiträge an öffentliche Unternehmungen,11177314.710269999,11298603.69574,11519898.438420001,11475875.2094,HRM2_KT_alle,,
HRM2_ER3635,davon 3635,Beiträge an private Unternehmungen,3651565.02871,3698732.927759999,3676389.2345900005,3975219.6426000013,HRM2_KT_alle,,
HRM2_neu_ER0364,364,Wertberichtigungen Darlehen VV,30560.11274,25074.5,58054.87143,18993.6,HRM2_KT_alle,,
HRM2_neu_ER0365,365,Wertberichtigungen Beteiligungen VV,25953.22396,774.0,84322.67100000002,534.3,HRM2_KT_alle,,
HRM2_neu_ER0366,366,Abschreibungen Investitionsbeiträge,915988.4965099999,896047.6429999999,892380.84457,947008.0592199999,HRM2_KT_alle,,
HRM2_ER0037,37,Durchlaufende Beiträge,4764099.21586,4557378.385000001,4478842.94528,4468522.024000001,HRM2_KT_alle,,
HRM2_ER3704,davon 3704,Durchlaufende Beiträge an öffentliche Unternehmungen,728089.09497,557229.7000000001,594402.8683,592701.6,HRM2_KT_alle,,
HRM2_ER3705,davon 3705,Durchlaufende Beiträge an private Unternehmungen,1723714.7559100003,1723471.0040000002,1749095.77928,1712800.354,HRM2_KT_alle,,
HRM2_ER0039,39,Interne Verrechungen,2943113.1827999996,2847950.2605999997,2860725.848339999,2907588.3464599997,HRM2_KT_alle,,
HRM2_TOTBA,,Total Betrieblicher Aufwand (ohne SG 39),89564078.24621001,90397692.04901099,90701311.32839999,93341056.80161,HRM2_KT_alle,,
HRM2_neu_ER0040,40,Fiskalertrag,47786990.21,47341095.519,49254531.36997001,47981014.27,HRM2_KT_alle,,
HRM2_neu_ER0400,400,Direkte Steuern natürliche Personen,33285632.492010005,33156737.559,34464718.8171,34584847.678,HRM2_KT_alle,,
HRM2_neu_ER0401,401,Direkte Steuern juristische Personen,8199055.53708,7599892.359999999,8285283.824820001,7392499.407,HRM2_KT_alle,,
HRM2_ER0402,402 + 403,Übrige direkte Steuer; Besitz- und Aufwandsteuern,6302301.9410999995,5883116.0,6476472.57793,5976767.185,HRM2_KT_alle,,
HRM2_neu_ER4021,4021,Grundsteuern,415065.55066999997,408200.0,462841.77819999994,469505.0,HRM2_KT_alle,,
HRM2_neu_ER4022,4022,Vermögensgewinnsteuern,1342617.8521400003,1115633.1,1487267.1126100002,1237917.585,HRM2_KT_alle,,
HRM2_neu_ER4023,4023,Vermögensverkehrssteuern,1014957.9468299999,830486.716,990695.63382,884545.6,HRM2_KT_alle,,
HRM2_ER0041,41,Regalien und Konzessionen,2241160.14902,1413177.5480000002,2082563.6476099999,1479764.0550000002,HRM2_KT_alle,,
HRM2_ER0042,42,Entgelte,7708091.4087499995,7610804.814750001,7685260.9048,7722365.583609999,HRM2_KT_alle,,
HRM2_neu_ER0043,43,Verschiedene Erträge,763598.16957,734201.1,762132.92592,781949.145,HRM2_KT_alle,,
HRM2_ER0430,430,Verschiedene Erträge,436726.07217,542666.439,500633.8907,570362.0179999999,HRM2_KT_alle,,
HRM2_ER0431,431,Aktivierung Eigenleistung,61486.77803,75445.94999999998,61220.3144,76872.4,HRM2_KT_alle,,
HRM2_ER0432,432,Bestandesveränderungen,3839.90468,-56.0,2951.10639,1966.0,HRM2_KT_alle,,
HRM2_ER0439,439,Übriger Ertrag,261545.12502999994,116144.22499999999,197450.63858,176955.477,HRM2_KT_alle,,
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,507157.9098399999,596929.79427,752372.00124,669718.2978700001,HRM2_KT_alle,,
HRM2_ER0450,450,Entnahmen aus Fonds und Spezialfinanzierungen im Fremdkapital,208514.13350999999,215488.24500000002,181579.27969999996,183926.267,HRM2_KT_alle,,
HRM2_ER0451,451,Entnahmen aus Fonds und Spezialfinanzierungen im Eigenkapital,298643.17303,381443.34926999995,570739.42064,485327.03096999996,HRM2_KT_alle,,
HRM2_ER0046,46,Transferertrag,26594463.94666,26569730.308640003,27231779.09539,28209636.693079997,HRM2_KT_alle,,
HRM2_ER0466,davon 466,Auflösung passivierter Investitionsbeiträge,136909.79565,143792.56530999998,126988.31429000001,97512.76164000001,HRM2_KT_alle,,
HRM2_ER0047,47,Durchlaufende Beiträge,4764568.11586,4557351.3950000005,4479245.98643,4468513.024000001,HRM2_KT_alle,,
HRM2_ER0049,49,Interne Verrechnungen,2943113.1827999996,2847950.27023,2860725.848339999,2907588.3464599997,HRM2_KT_alle,,
HRM2_TOTBE,,Total Betrieblicher Ertrag (ohne SG 49),90366029.9097,88823290.47965999,92247885.93136,91312961.06856,HRM2_KT_alle,,
HRM2_ERGBT,,Ergebnis aus betrieblicher Tätigkeit,801951.6634899983,-1574401.5693509988,1546574.6029599984,-2028095.733049999,HRM2_KT_alle,,
HRM2_neu_ER0034,34,Finanzaufwand,814268.2755399997,757136.471,849401.9722000001,852899.895,HRM2_KT_alle,,
HRM2_ER0340,340,Zinsaufwand,593453.4139599999,594591.581,554146.5695300001,666671.957,HRM2_KT_alle,,
HRM2_neu_ER3401,3401,Verzinsung kurzfristige Finanzverbindlichkeiten,368909.59760000004,390925.4767800001,369313.1733900001,392108.30600000004,HRM2_KT_alle,,
HRM2_neu_ER3406,3406,Verzinsung langfristige Finanzverbindlichkeiten,158144.91186,142244.046,125758.41106000001,120101.212,HRM2_KT_alle,,
HRM2_ER0341,341,Realisierte Kursverluste,5851.645880000002,1427.4299999999998,22341.866739999998,6116.792,HRM2_KT_alle,,
HRM2_ER0342,342,Kapitalbeschaffungs- und Verwaltungskosten,17706.29997,23220.173000000003,17795.9846,21731.38036,HRM2_KT_alle,,
HRM2_ER0343,343,Liegenschaftenaufwand FV,65692.43816,76816.968,69251.47153000001,94826.66864,HRM2_KT_alle,,
HRM2_ER0344,344,Wertberichtigungen Anlagen FV,68446.26888,1370.3,119179.92107,1107.1,HRM2_KT_alle,,
HRM2_ER0349,349,Verschiedener Finanzaufwand,63097.89481,59618.878000000004,66735.04744,62445.997,HRM2_KT_alle,,
HRM2_neu_ER0044,44,Finanzertrag,2922008.9118899996,2604948.5104500004,3263330.2934600003,2832736.4157000007,HRM2_KT_alle,,
HRM2_ER0440,440,Zinsertrag,334978.51652,304147.85000000003,382129.8192700001,317263.13700000005,HRM2_KT_alle,,
HRM2_ER0441,441,Realisierte Gewinne FV,128021.05405999998,17398.729,67534.53364000002,29944.447,HRM2_KT_alle,,
HRM2_ER0442,442,Beteiligungsertrag FV,140256.97547000003,137371.688,161307.53914,155373.374,HRM2_KT_alle,,
HRM2_neu_ER4420,4420,Dividenden auf Beteiligungen FV,137339.87365,80068.688,159765.92526000002,141121.09100000001,HRM2_KT_alle,,
HRM2_ER0443,443,Liegenschaftenertrag FV,234389.64102000004,243294.25850000003,231625.93955000007,226728.65350000001,HRM2_KT_alle,,
HRM2_ER0444,444,Wertberichtigungen Anlagen FV,76748.70426,14211.0,355952.93801000004,28214.1,HRM2_KT_alle,,
HRM2_ER0445,445,Finanzertrag aus Darlehen und Beteiligungen VV,321271.03622999997,383220.23099999997,265961.0697,266653.98000000004,HRM2_KT_alle,,
