HRM2-ID,HRM2-Bezeichnung,Rechnung 2013,Budget 2014,Rechnung 2014,Budget 2015,Source,Kanton,Year,Compte,Compte.1
30,Personalaufwand,4727960.2232,4944121.854,4958624.94034,5058273.578999999,ZH HRM2,ZH,2014,,
31,Sach- und übriger Betriebsaufwand,2856763.2608499997,2972686.192,2943690.2917,2976696.62825,ZH HRM2,ZH,2014,,
330,Abschreibungen Sachanlagen VV,457455.2279,460653.49,503685.37785000005,461127.442,ZH HRM2,ZH,2014,,
332,Abschreibungen Immaterielle Anlagen VV,25865.21572,25828.403,27564.75471,27300.524,ZH HRM2,ZH,2014,,
339,Abtragung Bilanzfehlbetrag,0.0,0,0.0,0,ZH HRM2,ZH,2014,,
350,Einlagen in Fonds und Spezialfinanzierungen im FK,55525.04908,31780.175,41408.95222,7167.8,ZH HRM2,ZH,2014,,
351,Einlagen in Fonds und Spezialfinanzierungen im EK,35368.32813,25265,17754.98665,9478,ZH HRM2,ZH,2014,,
36,Transferaufwand,5246448.092970001,5330363.291,5145992.16537,5449901.968,ZH HRM2,ZH,2014,,
37,Durchlaufende Beiträge,657872.8769500001,649978.2,633057.6747699999,663146.64,ZH HRM2,ZH,2014,,
39,Interne Verrechungen,,0,0.0,0,ZH HRM2,ZH,2014,,
41,Regalien und Konzessionen,200029.33756,196229,85588.66412999999,191833,ZH HRM2,ZH,2014,,
42,Entgelte,2641740.38603,2749027.599,2805375.68841,2822631.932,ZH HRM2,ZH,2014,,
430,Verschiedene Erträge,254693.63739,156230.6,257818.94285,166057.9,ZH HRM2,ZH,2014,,
431,Aktivierung Eigenleistung,12608.36684,8615,13135.08191,8839.7,ZH HRM2,ZH,2014,,
432,Bestandesveränderungen,-1856.38056,0,-3136.34105,0,ZH HRM2,ZH,2014,,
439,Übriger Ertrag,64822.38964,83622.059,51809.50882,96086.98659999999,ZH HRM2,ZH,2014,,
450,Entnahmen aus Fonds und Spezialfinanzierungen im Fremdkapital,20112.62086,59177.387,32091.96454,68620.062,ZH HRM2,ZH,2014,,
451,Entnahmen aus Fonds und Spezialfinanzierungen im Eigenkapital,0.0,0,0.0,0,ZH HRM2,ZH,2014,,
46,Transferertrag,3647671.65311,3681137.5,3654454.801,3691845,ZH HRM2,ZH,2014,,
47,Durchlaufende Beiträge,657872.87695,649978.2,633057.6747699999,663146.64,ZH HRM2,ZH,2014,,
49,Interne Verrechnungen,0.0,0,0.0,0,ZH HRM2,ZH,2014,,
340,Zinsaufwand,134592.45150999998,125754.722,122641.91751,128274.163,ZH HRM2,ZH,2014,,
341,Realisierte Kursverluste,16217.32616,475.6,1710.96393,344.6,ZH HRM2,ZH,2014,,
342,Kapitalbeschaffungs- und Verwaltungskosten,609.05331,720,814.59723,705,ZH HRM2,ZH,2014,,
343,Liegenschaftenaufwand FV,8651.09193,9954.8,13502.08688,5829,ZH HRM2,ZH,2014,,
344,Wertberichtigungen Anlagen FV,2335.9804900000004,0,2488.28917,70,ZH HRM2,ZH,2014,,
349,Verschiedener Finanzaufwand,1134.28448,2375,1007.86076,2053.6,ZH HRM2,ZH,2014,,
440,Zinsertrag,47168.64813,45581.9,43136.89056,44738.1,ZH HRM2,ZH,2014,,
441,Realisierte Gewinne FV,4907.1659500000005,2966,10601.7225,2157.3,ZH HRM2,ZH,2014,,
442,Beteiligungsertrag FV,519.27589,93,548.47965,106,ZH HRM2,ZH,2014,,
443,Liegenschaftenertrag FV,24203.58739,23182.9,22893.32994,24499.15,ZH HRM2,ZH,2014,,
444,Wertberichtigungen Anlagen FV,7875.68525,3250,4213.023429999999,3020,ZH HRM2,ZH,2014,,
445,Finanzertrag aus Darlehen und Beteiligungen VV,37639.00903,32886,54727.358,32638.6,ZH HRM2,ZH,2014,,
446,Finanzertrag von öffentlichen Unternehmungen,274894.6175,271635,270557.563,227775,ZH HRM2,ZH,2014,,
447,Liegenschaftenertrag VV,31858.369469999998,30146.74,34339.26126,29491.24,ZH HRM2,ZH,2014,,
