Referenz-ID,HRM2-ID,HRM2-Bezeichnung,Rechnung 2020,Budget 2021,Anpassung Budget 2021,Budgetplus 2021,Rechnung 2021,Budget 2022,Source,Kanton,Year,Compte,Adaptation Budget**,Compte.1
HRM2_ER0030,30,Personalaufwand,25054355.61869,24189899.191140004,203324.7192599997,24393223.910400003,26152620.360519994,26630564.07622,HRM2_KT_alle,alle,2021,,,
HRM2_ER0031,31,Sach- und übriger Betriebsaufwand,9432382.427939998,9603541.234790001,407451.21928,10010992.454070002,10287100.330230001,10415842.2807,HRM2_KT_alle,alle,2021,,,
HRM2_ER0314,davon 314,baulicher und betrieblicher Unterhalt,1100302.72593,1116254.8120000002,46215.04360999999,1162469.8556100002,1138027.15383,1106749.6179999998,HRM2_KT_alle,alle,2021,,,
HRM2_ER0318,davon 3180,Wertberichtigungen auf Forderungen,55150.77083000001,41547.87,992.16048,42540.03048,753.9245599999999,51273.266,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER0033,33,Abschreibungen VV,2874363.8692199998,2882024.76714,-824.9049200000007,2881199.86222,2829988.735800001,2898268.6501100007,HRM2_KT_alle,alle,2021,,,
HRM2_ER0330,330,Abschreibungen Sachanlagen VV,2745022.20723,2733273.60527,-824.9049200000007,2732448.70035,2680263.72598,2735752.06111,HRM2_KT_alle,alle,2021,,,
HRM2_ER0332,332,Abschreibungen Immaterielle Anlagen VV,129342.51880000002,148751.16187,0.0,148751.16187,149725.11113,162517.59,HRM2_KT_alle,alle,2021,,,
HRM2_ER0339,339,Abtragung Bilanzfehlbetrag,0,0,0.0,0.0,0,0,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER0035,35,Einlagen in Fonds und Spezialfinanzierungen,1180277.9638699999,437141.40100000007,19658.0315,456799.43250000005,1323700.23774,546496.7710000001,HRM2_KT_alle,alle,2021,,,
HRM2_ER0350,350,Einlagen in Fonds und Spezialfinanzierungen im FK,295338.20820999995,170464.76700000002,0.0,170464.76700000002,315863.26703,157040.69999999998,HRM2_KT_alle,alle,2021,,,
HRM2_ER0351,351,Einlagen in Fonds und Spezialfinanzierungen im EK,884939.8546600001,266676.634,19658.0315,286334.6655,1007836.97112,404959.071,HRM2_KT_alle,alle,2021,,,
HRM2_ER0036,36,Transferaufwand,51857105.4511,51422170.89772,2932632.3470200007,54354803.24474,55957921.3645,52659531.96633,HRM2_KT_alle,alle,2021,,,
HRM2_ER3634,davon 3634,Beiträge an öffentliche Unternehmungen,12286467.732859999,11820041.3976,229152.99530000007,12049194.392900001,11915935.536470002,11972853.848,HRM2_KT_alle,alle,2021,,,
HRM2_ER3635,davon 3635,Beiträge an private Unternehmungen,4276053.95954,3876481.2489999994,1307639.39385,5184120.6428499995,7370842.80517,3666077.4159999997,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER0364,364,Wertberichtigungen Darlehen VV,71373.66633,16146.96,45.9375,16192.8975,77276.27082,51258.75,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER0365,365,Wertberichtigungen Beteiligungen VV,44367.57564000001,606.3,400.0,1006.3,92151.85876999999,4601.3,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER0366,366,Abschreibungen Investitionsbeiträge,884201.6132199999,963576.2430199999,0.0,963576.2430199999,936652.5223300001,977581.5999299999,HRM2_KT_alle,alle,2021,,,
HRM2_ER0037,37,Durchlaufende Beiträge,4538568.357340001,4460081.053,41104.0,4501185.053,4944747.016299999,4531779.028,HRM2_KT_alle,alle,2021,,,
HRM2_ER3704,davon 3704,Durchlaufende Beiträge an öffentliche Unternehmungen,599260.69959,596463,0.0,596463.0,620463.96004,524106.99999999994,HRM2_KT_alle,alle,2021,,,
HRM2_ER3705,davon 3705,Durchlaufende Beiträge an private Unternehmungen,1776279.0663399994,1733873.4329999997,41104.0,1774977.4329999997,2176763.5739499996,1592192.86,HRM2_KT_alle,alle,2021,,,
HRM2_ER0039,39,Interne Verrechungen,3140133.68319,2972429.4432599996,5330.0,2977759.4432599996,3178634.61641,2919552.689700001,HRM2_KT_alle,alle,2021,,,
HRM2_TOTBA,,Total Betrieblicher Aufwand (ohne SG 39),95637654.38816,95376802.60479002,3605145.6781400004,98981948.28293002,101496078.04508999,97682482.77236,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER0040,40,Fiskalertrag,49293510.80164001,46149180.923599996,-400.0,46148780.923599996,50530427.98593,47916953.746599995,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER0400,400,Direkte Steuern natürliche Personen,35288418.381790005,34045783.11,0.0,34045783.11,35457924.43113,34910943.141,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER0401,401,Direkte Steuern juristische Personen,7303138.6079400005,5998813.575,0.0,5998813.575,7640789.948,6635977.818,HRM2_KT_alle,alle,2021,,,
HRM2_ER0402,402 + 403,Übrige direkte Steuer; Besitz- und Aufwandsteuern,6701954.82191,6104585.295,-400.0,6104185.295,7431711.9941799985,6370032.7876,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER4021,4021,Grundsteuern,462484.19256,479600,0.0,479600.0,520521.6432,504500,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER4022,4022,Vermögensgewinnsteuern,1511368.1168999998,1284291.2540000002,0.0,1284291.2540000002,1941504.89251,1375433.574,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER4023,4023,Vermögensverkehrssteuern,1119862.07933,896594.347,0.0,896594.347,1268401.04257,974106.9249999999,HRM2_KT_alle,alle,2021,,,
HRM2_ER0041,41,Regalien und Konzessionen,3432612.86834,2485582.886999999,0.0,2485582.886999999,4775215.34066,3710037.5849999995,HRM2_KT_alle,alle,2021,,,
HRM2_ER0042,42,Entgelte,7444766.621430001,7696228.0154099995,64493.629339999985,7760721.644749999,7983889.195070001,7838441.80982,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER0043,43,Verschiedene Erträge,725482.33687,851174.5987,4479.44,855654.0386999999,793150.8290299999,792378.16585,HRM2_KT_alle,alle,2021,,,
HRM2_ER0430,430,Verschiedene Erträge,501611.93165,615673.104,1479.4399999999994,617152.544,459401.7396,555636.8459999999,HRM2_KT_alle,alle,2021,,,
HRM2_ER0431,431,Aktivierung Eigenleistung,56449.06815,69114.6707,0.0,69114.6707,74963.58641,73194.20885,HRM2_KT_alle,alle,2021,,,
HRM2_ER0432,432,Bestandesveränderungen,3259.05014,-125,0.0,-125.0,-3543.06914,1725,HRM2_KT_alle,alle,2021,,,
HRM2_ER0439,439,Übriger Ertrag,164161.97593000002,166511.934,3000.0,169511.934,262327.12354,161822.711,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER0045,45,Entnahmen aus Fonds und Spezialfinanzierungen,1126948.06593,706062.3723,25187.1,731249.4723,644806.3655,663002.59205,HRM2_KT_alle,alle,2021,,,
HRM2_ER0450,450,Entnahmen aus Fonds und Spezialfinanzierungen im Fremdkapital,231649.31092000002,191206.05,0.0,191206.05,185635.3775,162399.659,HRM2_KT_alle,alle,2021,,,
HRM2_ER0451,451,Entnahmen aus Fonds und Spezialfinanzierungen im Eigenkapital,895299.49541,514856.3223,25187.1,540043.4223,459172.28789,508218.93305,HRM2_KT_alle,alle,2021,,,
HRM2_ER0046,46,Transferertrag,28841644.184940003,28402574.74911,392346.75426999986,28794921.503379997,32826662.908989005,29313840.301719997,HRM2_KT_alle,alle,2021,,,
HRM2_ER0466,davon 466,Auflösung passivierter Investitionsbeiträge,103178.98750999999,104167.51701,0.0,104167.51701,118744.23689999999,102823.21399999999,HRM2_KT_alle,alle,2021,,,
HRM2_ER0047,47,Durchlaufende Beiträge,4538629.767340001,4460041.053,41104.0,4501145.053,4945047.016779999,4529624.028,HRM2_KT_alle,alle,2021,,,
HRM2_ER0049,49,Interne Verrechnungen,3140133.68319,2972429.29398,5330.0,2977759.29398,3178634.7164499997,2919552.689690001,HRM2_KT_alle,alle,2021,,,
HRM2_TOTBE,,Total Betrieblicher Ertrag (ohne SG 49),95403594.64649,90750844.59912,527210.9236099999,91278055.52273001,102499199.641959,94764278.22904,HRM2_KT_alle,alle,2021,,,
HRM2_ERGBT,,Ergebnis aus betrieblicher Tätigkeit,-234059.741669997,-4625958.00567,-2077388.31453,-6703346.3202,1003121.5968689951,-2918204.543319997,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER0034,34,Finanzaufwand,1174329.5474,785847.778,3129.10044,788976.87844,866844.6550299999,753195.2459999999,HRM2_KT_alle,alle,2021,,,
HRM2_ER0340,340,Zinsaufwand,603790.30104,603661.6599999999,-4700.0,598961.6599999999,543861.1984200001,549504.3899999999,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER3401,3401,Verzinsung kurzfristige Finanzverbindlichkeiten,360356.90420000005,376078.76,-4700.0,371378.76,326303.73819,340207.55,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER3406,3406,Verzinsung langfristige Finanzverbindlichkeiten,114518.51415,103977.3,0.0,103977.3,99160.06797,89522.3,HRM2_KT_alle,alle,2021,,,
HRM2_ER0341,341,Realisierte Kursverluste,33184.160180000006,1861.135,2.0,1863.135,7338.181829999999,2102.8549999999996,HRM2_KT_alle,alle,2021,,,
HRM2_ER0342,342,Kapitalbeschaffungs- und Verwaltungskosten,16073.297250000003,21684.850000000002,1.27585,21686.125850000004,16016.661409999999,21560.921,HRM2_KT_alle,alle,2021,,,
HRM2_ER0343,343,Liegenschaftenaufwand FV,76907.78998,99480.68300000002,4118.4138,103599.09680000001,70365.01131000002,116136.26,HRM2_KT_alle,alle,2021,,,
HRM2_ER0344,344,Wertberichtigungen Anlagen FV,385251.16327,742.7,2.1,744.8000000000001,171197.68385,1122,HRM2_KT_alle,alle,2021,,,
HRM2_ER0349,349,Verschiedener Finanzaufwand,59124.03768,58416.75,133.1224,58549.8724,58062.60794,62768.82,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER0044,44,Finanzertrag,4074484.097950001,2729767.8295600004,48.14487,2729815.9744300004,3351433.6077700006,2876268.0734900003,HRM2_KT_alle,alle,2021,,,
HRM2_ER0440,440,Zinsertrag,310591.72932,291789.06,-2.2772,291786.7828,294153.07623,297001.01,HRM2_KT_alle,alle,2021,,,
HRM2_ER0441,441,Realisierte Gewinne FV,76830.87658999999,18519.449999999997,0.0,18519.449999999997,92312.81618,35351.284,HRM2_KT_alle,alle,2021,,,
HRM2_ER0442,442,Beteiligungsertrag FV,166081.5014,160311.343,0.0,160311.343,109902.71763,169262.533,HRM2_KT_alle,alle,2021,,,
HRM2_neu_ER4420,4420,Dividenden auf Beteiligungen FV,164557.03145,158636.343,0.0,158636.343,108425.41763,167890.533,HRM2_KT_alle,alle,2021,,,
HRM2_ER0443,443,Liegenschaftenertrag FV,250017.52401999998,247649.9555,0.8144,247650.7699,233153.89619,253203.2715,HRM2_KT_alle,alle,2021,,,
HRM2_ER0444,444,Wertberichtigungen Anlagen FV,1178580.7444200004,43298.399,0.0,43298.399,411587.3126700001,55105.14,HRM2_KT_alle,alle,2021,,,
HRM2_ER0445,445,Finanzertrag aus Darlehen und Beteiligungen VV,172788.19645,188380.348,0.0,188380.348,185464.2398,187784.88748,HRM2_KT_alle,alle,2021,,,
HRM2_ER0446,446,Finanzertrag von öffentlichen Unternehmungen,1410909.8779199999,1230138.82,0.0,1230138.82,1472010.9948200001,1369925.606,HRM2_KT_alle,alle,2021,,,
HRM2_ER0447,447,Liegenschaftenertrag VV,449149.96651,474245.1590599999,49.60767,474294.7667299999,459130.52503,459295.95151000004,HRM2_KT_alle,alle,2021,,,
HRM2_ER0448,448,Erträge von gemieteten Liegenschaften,5890.25195,15528.4,0.0,15528.4,4707.18142,27225.5,HRM2_KT_alle,alle,2021,,,
