Region,Acc-ID,Year,Realized,Budget y,Budget y+1,Slack
AG,30,2011,1502908.761,1493915.87,1558926.92,-8992.890999999829
AG,31,2011,298376.281,343315.487,357517.317,44939.206000000006
AG,33,2011,-10070.337966918945,978748.2529449463,-3136808.860809326,988818.5909118652
AG,34,2011,62520.713,68183.0,58242.123,5662.286999999997
AG,34,2011,525232.192435,518154.05,560425.65,-7078.142434999987
AG,35,2011,525232.192435,518154.05,560425.65,-7078.142434999987
AG,35,2011,282095.292,42934.919,23222.77,-239160.37300000002
AG,36,2011,525232.192435,518154.05,560425.65,-7078.142434999987
AG,37,2011,525232.192435,518154.05,560425.65,-7078.142434999987
AG,38,2011,-7869813.2752075195,113326.10205364227,445068.96755981445,7983139.377261162
AG,39,2011,321373.372,216002.897,211902.2,-105370.47499999998
AG,40,2011,1377414.720451355,-3612264.809387207,8833092.00756836,-4989679.529838562
AG,41,2011,178308.466705,155371.05,162157.625,-22937.41670500001
AG,42,2011,340539.508,341352.365,214180.5,812.8570000000182
AG,43,2011,178308.466705,155371.05,162157.625,-22937.41670500001
AG,44,2011,400772.0855775,378688.288,414183.925,-22083.797577499994
AG,45,2011,400772.0855775,378688.288,414183.925,-22083.797577499994
AG,45,2011,27273.884,95806.5,119198.9,68532.61600000001
AG,46,2011,400772.0855775,378688.288,414183.925,-22083.797577499994
AG,47,2011,400772.0855775,378688.288,414183.925,-22083.797577499994
AG,48,2011,105742.88208389282,5027166.439239502,-7089059.012634277,4921423.557155609
AG,49,2011,321373.372,216002.897,211902.2,-105370.47499999998
AG,50,2011,256157.646,269500.595,250758.7,13342.948999999964
AG,56,2011,19523.296266666664,22641.033333333333,21924.766666666663,3117.7370666666684
AG,57,2011,19523.296266666664,22641.033333333333,21924.766666666663,3117.7370666666684
AG,58,2011,19523.296266666664,22641.033333333333,21924.766666666663,3117.7370666666684
AG,60,2011,4337.21,1416.0,2636.0,-2921.21
AG,61,2011,4337.21,1416.0,2636.0,-2921.21
AG,62,2011,15270.338591666668,14364.486666666666,13799.091666666667,-905.8519250000027
AG,63,2011,15270.338591666668,14364.486666666666,13799.091666666667,-905.8519250000027
AG,64,2011,15270.338591666668,14364.486666666666,13799.091666666667,-905.8519250000027
AG,65,2011,15270.338591666668,14364.486666666666,13799.091666666667,-905.8519250000027
AG,66,2011,15270.338591666668,14364.486666666666,13799.091666666667,-905.8519250000027
