Acc-ID,Name,Budget y,Realized,Budget y+1,Region,Year,Slack
30,Personalaufwand,4827007.19,4727960.2232,4944121.854,ZH,2013,99046.96680000052
31,Sach- und übriger Betriebsaufwand,2633519.28,2856763.2608499997,2972686.192,ZH,2013,-223243.98084999993
36,Transferaufwand,5435767.72,5246448.092970001,5330363.291,ZH,2013,189319.62702999916
37,Durchlaufende Beiträge,644945.0,657872.8769500001,649978.2,ZH,2013,-12927.876950000064
39,Interne Verrechungen,0.0,0.0,0.0,ZH,2013,0.0
41,Regalien und Konzessionen,196792.0,200029.33756,196229.0,ZH,2013,-3237.3375600000145
42,Entgelte,2717450.0249999994,2641740.38603,2749027.599,ZH,2013,75709.63896999927
46,Transferertrag,3519723.438,3647671.65311,3681137.5,ZH,2013,-127948.21510999976
47,Durchlaufende Beiträge,644945.0,657872.87695,649978.2,ZH,2013,-12927.876949999947
49,Interne Verrechnungen,0.0,0.0,0.0,ZH,2013,0.0
50,Sachanlagen,518703.0,619146.24438,426479.1,ZH,2013,-100443.24438000005
51,Investitionen auf Rechnung Dritter,400.0,172.7887,1495.7,ZH,2013,227.2113
52,Immaterielle Anlagen,50440.6,26002.60139,42830.2,ZH,2013,24437.99861
54,Darlehen,104775.0,12106.4688,52625.0,ZH,2013,92668.5312
55,Beteiligungen und Grundkapitalien,0.0,0.0,200.0,ZH,2013,0.0
56,Eigene Investitionsbeiträge,273530.7,208015.25093,276350.7,ZH,2013,65515.44907
57,Durchlaufende Investitionsbeiträge,36728.0,31354.210850000003,31730.0,ZH,2013,5373.789149999997
60,Übertragung von Sachanlagen in das FV,100.0,11221.70909,160.0,ZH,2013,-11121.70909
61,Rückerstattungen Dritter für Investitionen,6900.0,129.146,1495.7,ZH,2013,6770.854
62,Abgang immaterielle Anlagen,551.2,180.65885,576.5,ZH,2013,370.54115
63,Investitionsbeiträge für eigene Rechnung,55011.3,39170.721979999995,34758.3,ZH,2013,15840.578020000008
64,Rückzahlung von Darlehen,108798.0,211159.95454,105327.5,ZH,2013,-102361.95454
65,Übertragung von Beteiligungen,0.0,0.0,0.0,ZH,2013,0.0
66,Rückzahlung eigener Investitionsbeiträge,200.0,850.4333399999999,5600.0,ZH,2013,-650.4333399999999
67,Durchlaufende Investitionsbeiträge,36728.0,31354.210850000003,31730.0,ZH,2013,5373.789149999997
10,Finanzvermögen,0.0,6590996.66416,0.0,ZH,2013,0.0
14,Verwaltungsvermögen,0.0,14237719.72018,0.0,ZH,2013,0.0
20,Fremdkapital,0.0,12374766.418639999,0.0,ZH,2013,0.0
29,Eigenkapital,0.0,8453949.96545,0.0,ZH,2013,0.0
30,Personalaufwand,3177884.335,3171719.0,3029446.9,BE,2013,6165.334999999963
31,Sachaufwand,926445.31696,797275.5,829773.7,BE,2013,129169.81695999997
34,Passivzinsen,123288.31099999999,107407.3,113810.2,BE,2013,15881.010999999984
34,"Anteile, Entschädigungen, Beiträge",1329942.186925,1338446.8,1367937.05,BE,2013,-8504.613075000001
35,"Anteile, Entschädigungen, Beiträge",1329942.186925,1338446.8,1367937.05,BE,2013,-8504.613075000001
36,"Anteile, Entschädigungen, Beiträge",1329942.186925,1338446.8,1367937.05,BE,2013,-8504.613075000001
37,"Anteile, Entschädigungen, Beiträge",1329942.186925,1338446.8,1367937.05,BE,2013,-8504.613075000001
35,Einlagen in Spezialfinanzierungen/Fonds,3602.6310000000003,27216.9,9149.9,BE,2013,-23614.269
39,Interne Verrechnungen (Aufwand),138491.022,106503.5,151364.5,BE,2013,31987.521999999997
42,Vermögenserträge,225230.428,261060.5,234359.9,BE,2013,-35830.071999999986
41,Konzessionen/Entgelte (Gebühren),409706.8884,443777.25,398773.2,BE,2013,-34070.361600000004
43,Konzessionen/Entgelte (Gebühren),409706.8884,443777.25,398773.2,BE,2013,-34070.361600000004
44,"Anteile, Rückerstattungen, Beiträge",1036354.2898700001,1005932.925,1031261.2,BE,2013,30421.36487000005
45,"Anteile, Rückerstattungen, Beiträge",1036354.2898700001,1005932.925,1031261.2,BE,2013,30421.36487000005
46,"Anteile, Rückerstattungen, Beiträge",1036354.2898700001,1005932.925,1031261.2,BE,2013,30421.36487000005
47,"Anteile, Rückerstattungen, Beiträge",1036354.2898700001,1005932.925,1031261.2,BE,2013,30421.36487000005
45,Entnahme aus Spezialfinanzierungen,286597.14473,218172.3,251406.0,BE,2013,68424.84473000001
49,Interne Verrechnungen (Ertrag),137841.3926,106503.5,152040.2,BE,2013,31337.892599999992
50,Sachgüter,627276.9419999999,653561.3,615075.6,BE,2013,-26284.358000000124
54,Darlehen und Beteiligungen,15935.0,29327.1,16547.2,BE,2013,-13392.099999999999
56,"Investitionsbeiträge,übrige Investitionen",118899.98886666665,116416.26666666666,126490.66666666666,BE,2013,2483.7221999999892
57,"Investitionsbeiträge,übrige Investitionen",118899.98886666665,116416.26666666666,126490.66666666666,BE,2013,2483.7221999999892
58,"Investitionsbeiträge,übrige Investitionen",118899.98886666665,116416.26666666666,126490.66666666666,BE,2013,2483.7221999999892
60,"Abgang Sachgüter, Nutzungsabgaben",478.0,5394.0,50.0,BE,2013,-4916.0
61,"Abgang Sachgüter, Nutzungsabgaben",478.0,5394.0,50.0,BE,2013,-4916.0
62,"Rückzahlung,Rückerstattung,Invest.-Beitr.",67875.95883333332,78349.38333333333,66808.15,BE,2013,-10473.424500000008
